Pintu Masuk,,,,,,,,,,,,,
",""Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2017 - sekarang"",,,,,,,,,,,,"
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,485245,488080,554664,560434,659064,707476,819496,826446,777537,707584,-,-,-
Ngurah Rai,330037,317109,366956,410281,439454,478127,541272,522063,508297,458845,-,-,-
Soekarno-Hatta,115590,125209,140859,99289,158550,161114,204000,218512,190058,181627,-,-,-
Juanda,10815,11919,10606,12361,15734,18025,20303,25548,25593,21996,-,-,-
Kualanamu,14195,15113,16106,15497,16262,16527,17478,20843,15783,14161,-,-,-
Husein Sastranegara,-,-,-,-,17,24,3,-,-,-,-,-,-
Adi Sucipto,3883,4849,5007,5592,8160,11188,12444,12974,11855,8536,-,-,-
Bandara Int. Lombok,2204,2360,2099,2903,4848,5721,6433,6245,6294,5904,-,-,-
Sam Ratulangi,804,1848,4793,4156,3798,3691,3782,5397,5922,4645,-,-,-
Minangkabau,2881,3595,2765,4100,4624,5226,4946,5577,5453,4925,-,-,-
Sultan Syarif Kasim II,1626,1918,1697,2453,2293,2447,2111,2770,2166,2377,-,-,-
Sultan Iskandar Muda,1443,2028,1901,1349,2350,2157,2582,3108,2481,1875,-,-,-
Ahmad Yani,-,-,-,-,-,-,-,-,8,-,-,-,-
Supadio,-,1,-,-,-,-,-,-,-,-,-,-,-
Hasanuddin,1090,1488,921,1564,1432,1888,1755,1609,1787,1175,-,-,-
Sultan Badaruddin II,-,1,1,-,-,-,11,4,-,-,-,-,-
Pintu Udara Lainnya,677,642,953,889,1542,1341,2376,1796,1840,1518,-,-,-
B. Pintu Laut,161600,142928,236181,235659,214326,276037,225106,220199,212770,186141,-,-,-
Batam,94247,73661,97040,88776,76577,133616,94373,94601,101470,79647,-,-,-
Tanjung Uban,14988,11285,19018,18547,15001,26345,17619,19237,20542,16838,-,-,-
Tanjung Pinang,5035,2729,4043,5324,3391,6086,4010,4222,4827,5065,-,-,-
Tanjung Balai Karimun,5851,4868,4835,5801,3590,4734,4391,4173,4345,4298,-,-,-
Tanjung Benoa,1875,6514,3738,1229,21,71,81,78,53,2596,-,-,-
Tanjung Mas,-,-,-,-,-,-,-,-,-,-,-,-,-
Pintu Laut Lainnya,39604,43871,107507,115982,115746,105185,104632,97888,81533,77697,-,-,-
C. Pintu Darat,89102,70923,78398,69717,80323,79276,76587,85993,79938,84774,-,-,-
Jayapura,131,81,106,91,8251,9933,7723,8335,8408,9174,-,-,-
Atambua,2497,4214,7016,7322,6651,8267,8198,11895,8942,9700,-,-,-
Entikong,2506,2727,2905,2929,2856,2819,2639,3488,2418,2274,-,-,-
Aruk,2543,2502,2169,3592,2057,2755,1832,2653,1878,1721,-,-,-
Nanga Badau,718,616,669,735,1324,1045,727,628,680,674,-,-,-
Pintu Darat Lainnya,80707,60783,65533,55048,59184,54457,55468,58994,57612,61231,-,-,-
Jumlah (A+B+C),735947,701931,869243,865810,953713,1062789,1121189,1132638,1070245,978499,-,-,-

Pintu Masuk,,,,,,,,,,,,,
",""Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2017 - sekarang"",,,,,,,,,,,,"
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,14555,17834,39062,97401,183830,280482,387184,422500,424198,447074,429979,551927,3296026
Ngurah Rai,-,1293,14617,58315,115553,181545,246442,276627,291115,305152,287025,376361,2154045
Soekarno-Hatta,14073,15406,23320,36061,57844,85587,119179,121427,111033,112527,113729,124475,934661
Juanda,-,-,57,1468,4598,4722,6087,8386,9152,9415,9644,14264,67793
Kualanamu,-,-,11,494,3861,5165,7518,10287,5895,11454,10615,19198,74498
Husein Sastranegara,-,-,-,-,-,49,21,15,-,-,-,-,85
Adi Sucipto,-,-,-,35,260,369,809,640,974,1933,1947,5169,12136
Bandara Int. Lombok,-,488,12,-,487,1011,1658,2054,2251,2226,1921,2914,15022
Sam Ratulangi,466,647,1045,851,843,1472,1684,1758,2178,1581,1721,1142,15388
Minangkabau,-,-,-,-,-,-,-,-,-,371,709,3062,4142
Sultan Syarif Kasim II,-,-,-,-,-,-,32,117,272,632,955,1977,3985
Sultan Iskandar Muda,-,-,-,-,-,-,-,-,-,257,452,1177,1886
Ahmad Yani,-,-,-,-,-,-,-,-,-,-,-,-,-
